threshold,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives,business_cost
0.01,0.001989564934933106,1.0,0.003971228852193294,49159,0,98,7705,245795
0.02,0.003832628709154846,0.9897959183673469,0.007635690951312631,25212,1,97,31652,126160
0.03,0.006526069931991482,0.9693877551020408,0.012964858410098942,14462,3,95,42402,72610
0.04,0.00963608405945669,0.9591836734693877,0.019080483101593423,9661,4,94,47203,48705
0.05,0.013129727415441701,0.9387755102040817,0.0258972554539057,6915,6,92,49949,35175
0.060000000000000005,0.017815646785437646,0.9387755102040817,0.034967692892436335,5072,6,92,51792,25960
0.06999999999999999,0.022874191944306316,0.9387755102040817,0.04466019417475728,3930,6,92,52934,20250
0.08,0.02854483400558486,0.9387755102040817,0.05540499849442939,3131,6,92,53733,16255
0.09,0.03462709284627093,0.9285714285714286,0.06676449009537784,2537,7,91,54327,13385
0.09999999999999999,0.04211013419713096,0.9285714285714286,0.08056662239929172,2070,7,91,54794,11050
0.11,0.050980392156862744,0.9285714285714286,0.09665427509293681,1694,7,91,55170,9170
0.12,0.06044325050369376,0.9183673469387755,0.11342155009451796,1399,8,90,55465,7795
0.13,0.06942277691107644,0.9081632653061225,0.1289855072463768,1193,9,89,55671,6865
0.14,0.08032490974729242,0.9081632653061225,0.14759535655058043,1019,9,89,55845,5995
0.15000000000000002,0.09498399146211313,0.9081632653061225,0.17198067632850242,848,9,89,56016,5140
0.16,0.1071863580998782,0.8979591836734694,0.191512513601741,733,10,88,56131,4665
0.17,0.11972789115646258,0.8979591836734694,0.2112845138055222,647,10,88,56217,4235
0.18000000000000002,0.13095238095238096,0.8979591836734694,0.22857142857142856,584,10,88,56280,3920
0.19,0.1456953642384106,0.8979591836734694,0.25071225071225073,516,10,88,56348,3580
0.2,0.15855855855855855,0.8979591836734694,0.26952526799387444,467,10,88,56397,3335
0.21000000000000002,0.17120622568093385,0.8979591836734694,0.2875816993464052,426,10,88,56438,3130
0.22,0.18526315789473685,0.8979591836734694,0.30715532286212915,387,10,88,56477,2935
0.23,0.20045558086560364,0.8979591836734694,0.32774674115456237,351,10,88,56513,2755
0.24000000000000002,0.21674876847290642,0.8979591836734694,0.3492063492063492,318,10,88,56546,2590
0.25,0.2328042328042328,0.8979591836734694,0.3697478991596639,290,10,88,56574,2450
0.26,0.25142857142857145,0.8979591836734694,0.39285714285714285,262,10,88,56602,2310
0.27,0.2691131498470948,0.8979591836734694,0.41411764705882353,239,10,88,56625,2195
0.28,0.2824675324675325,0.8877551020408163,0.42857142857142855,221,11,87,56643,2205
0.29000000000000004,0.3020833333333333,0.8877551020408163,0.45077720207253885,201,11,87,56663,2105
0.3,0.3210332103321033,0.8877551020408163,0.4715447154471545,184,11,87,56680,2020
0.31,0.3425196850393701,0.8877551020408163,0.4943181818181818,167,11,87,56697,1935
0.32,0.3686440677966102,0.8877551020408163,0.5209580838323353,149,11,87,56715,1845
0.33,0.3901345291479821,0.8877551020408163,0.5420560747663551,136,11,87,56728,1780
0.34,0.40186915887850466,0.8775510204081632,0.5512820512820513,128,12,86,56736,1840
0.35000000000000003,0.4215686274509804,0.8775510204081632,0.5695364238410596,118,12,86,56746,1790
0.36000000000000004,0.4365482233502538,0.8775510204081632,0.5830508474576271,111,12,86,56753,1755
0.37,0.4521276595744681,0.8673469387755102,0.5944055944055944,103,13,85,56761,1815
0.38,0.4696132596685083,0.8673469387755102,0.6093189964157706,96,13,85,56768,1780
0.39,0.4885057471264368,0.8673469387755102,0.625,89,13,85,56775,1745
0.4,0.49707602339181284,0.8673469387755102,0.6319702602230484,86,13,85,56778,1730
0.41000000000000003,0.5059523809523809,0.8673469387755102,0.6390977443609023,83,13,85,56781,1715
0.42000000000000004,0.5379746835443038,0.8673469387755102,0.6640625,73,13,85,56791,1665
0.43,0.5629139072847682,0.8673469387755102,0.6827309236947792,66,13,85,56798,1630
0.44,0.5782312925170068,0.8673469387755102,0.6938775510204082,62,13,85,56802,1610
0.45,0.5985915492957746,0.8673469387755102,0.7083333333333334,57,13,85,56807,1585
0.46,0.6159420289855072,0.8673469387755102,0.7203389830508474,53,13,85,56811,1565
0.47000000000000003,0.6204379562043796,0.8673469387755102,0.723404255319149,52,13,85,56812,1560
0.48000000000000004,0.631578947368421,0.8571428571428571,0.7272727272727273,49,14,84,56815,1645
0.49,0.6384615384615384,0.8469387755102041,0.7280701754385965,47,15,83,56817,1735
0.5,0.6484375,0.8469387755102041,0.7345132743362832,45,15,83,56819,1725
0.51,0.6587301587301587,0.8469387755102041,0.7410714285714286,43,15,83,56821,1715
0.52,0.6747967479674797,0.8469387755102041,0.751131221719457,40,15,83,56824,1700
0.53,0.6776859504132231,0.8367346938775511,0.7488584474885844,39,16,82,56825,1795
0.54,0.7256637168141593,0.8367346938775511,0.7772511848341233,31,16,82,56833,1755
0.55,0.7387387387387387,0.8367346938775511,0.784688995215311,29,16,82,56835,1745
0.56,0.7454545454545455,0.8367346938775511,0.7884615384615384,28,16,82,56836,1740
0.5700000000000001,0.7641509433962265,0.826530612244898,0.7941176470588235,25,17,81,56839,1825
0.5800000000000001,0.7692307692307693,0.8163265306122449,0.7920792079207921,24,18,80,56840,1920
0.59,0.7692307692307693,0.8163265306122449,0.7920792079207921,24,18,80,56840,1920
0.6,0.8,0.8163265306122449,0.8080808080808081,20,18,80,56844,1900
0.61,0.8061224489795918,0.8061224489795918,0.8061224489795918,19,19,79,56845,1995
0.62,0.8125,0.7959183673469388,0.8041237113402062,18,20,78,56846,2090
0.63,0.8210526315789474,0.7959183673469388,0.8082901554404145,17,20,78,56847,2085
0.64,0.8297872340425532,0.7959183673469388,0.8125,16,20,78,56848,2080
0.65,0.8369565217391305,0.7857142857142857,0.8105263157894737,15,21,77,56849,2175
0.66,0.8369565217391305,0.7857142857142857,0.8105263157894737,15,21,77,56849,2175
0.67,0.8369565217391305,0.7857142857142857,0.8105263157894737,15,21,77,56849,2175
0.68,0.8369565217391305,0.7857142857142857,0.8105263157894737,15,21,77,56849,2175
