model,threshold,roc_auc,pr_auc,precision,recall,f1
Logistic Regression,0.5,0.9721687370080279,0.7159122424484009,0.06097560975609756,0.9183673469387755,0.11435832274459974
Random Forest,0.5,0.9818797876494436,0.7999133196871797,0.6484375,0.8469387755102041,0.7345132743362832
HistGradientBoosting,0.5,0.9609289762612979,0.716180722464244,0.2895622895622896,0.8775510204081632,0.43544303797468353
